#Ligand RMSD
complex_3w.pdb 0.000
complex_2w.pdb 0.495
complex_5w.pdb 0.454
complex_1w.pdb 0.385
complex_6w.pdb 0.410
complex_4w.pdb 0.522
complex_10w.pdb 1.042
complex_327w.pdb 4.760
complex_323w.pdb 4.905
complex_348w.pdb 4.242
complex_330w.pdb 3.620
complex_263w.pdb 4.859
complex_360w.pdb 4.879
complex_398w.pdb 4.956
complex_240w.pdb 4.546
complex_252w.pdb 4.533
complex_275w.pdb 4.564
complex_14w.pdb 5.384
complex_400w.pdb 4.791
complex_213w.pdb 5.100
complex_277w.pdb 4.894
complex_389w.pdb 4.662
complex_292w.pdb 4.821
complex_251w.pdb 5.191
complex_371w.pdb 4.816
complex_202w.pdb 5.134
complex_180w.pdb 4.921
complex_269w.pdb 4.773
complex_17w.pdb 4.259
complex_13w.pdb 6.701
complex_299w.pdb 4.827
complex_390w.pdb 5.202
complex_391w.pdb 4.974
complex_206w.pdb 5.169
complex_347w.pdb 5.338
complex_255w.pdb 4.645
complex_376w.pdb 4.936
complex_9w.pdb 34.343
complex_351w.pdb 5.293
complex_61w.pdb 4.850
complex_308w.pdb 5.077
complex_249w.pdb 5.246
complex_322w.pdb 5.110
complex_258w.pdb 5.011
complex_349w.pdb 4.903
complex_300w.pdb 5.136
complex_245w.pdb 5.380
complex_44w.pdb 5.513
complex_242w.pdb 5.379
complex_174w.pdb 4.664
complex_256w.pdb 5.110
complex_246w.pdb 5.114
complex_316w.pdb 5.324
complex_217w.pdb 5.380
complex_155w.pdb 4.576
complex_235w.pdb 5.404
complex_21w.pdb 6.159
complex_321w.pdb 4.972
complex_284w.pdb 5.442
complex_8w.pdb 34.328
complex_165w.pdb 4.434
complex_47w.pdb 7.254
complex_83w.pdb 34.853
complex_164w.pdb 5.330
complex_133w.pdb 13.754
complex_233w.pdb 6.791
complex_100w.pdb 4.649
complex_11w.pdb 34.460
complex_166w.pdb 5.262
complex_12w.pdb 34.291
complex_42w.pdb 35.553
complex_72w.pdb 13.833
complex_30w.pdb 34.698
complex_161w.pdb 13.683
complex_7w.pdb 34.383
complex_167w.pdb 13.838
complex_219w.pdb 5.225
complex_31w.pdb 34.700
complex_45w.pdb 5.552
complex_130w.pdb 13.567
complex_52w.pdb 13.910
complex_357w.pdb 7.247
complex_329w.pdb 5.271
complex_109w.pdb 36.097
complex_151w.pdb 13.835
complex_159w.pdb 13.594
complex_71w.pdb 13.737
complex_149w.pdb 5.437
complex_176w.pdb 5.279
complex_36w.pdb 13.706
complex_55w.pdb 18.469
complex_209w.pdb 13.754
complex_62w.pdb 13.739
complex_79w.pdb 13.702
complex_157w.pdb 5.364
complex_18w.pdb 12.094
complex_220w.pdb 7.234
complex_77w.pdb 8.952
complex_127w.pdb 8.970
complex_84w.pdb 8.843
complex_39w.pdb 13.930
complex_35w.pdb 18.166
complex_70w.pdb 9.012
complex_114w.pdb 8.875
complex_28w.pdb 14.080
complex_168w.pdb 13.776
complex_92w.pdb 8.998
complex_137w.pdb 10.719
complex_244w.pdb 7.554
complex_125w.pdb 18.525
complex_74w.pdb 4.568
complex_120w.pdb 7.617
complex_196w.pdb 8.832
complex_64w.pdb 8.935
complex_41w.pdb 10.074
complex_33w.pdb 40.382
complex_65w.pdb 4.609
complex_86w.pdb 8.689
complex_57w.pdb 8.755
complex_195w.pdb 21.404
complex_98w.pdb 10.375
complex_108w.pdb 9.121
complex_123w.pdb 9.098
complex_381w.pdb 9.560
complex_89w.pdb 35.133
complex_16w.pdb 9.983
complex_85w.pdb 32.138
complex_40w.pdb 10.691
complex_20w.pdb 10.793
complex_124w.pdb 7.572
complex_37w.pdb 10.135
complex_96w.pdb 8.935
complex_154w.pdb 9.021
complex_38w.pdb 18.075
complex_102w.pdb 6.814
complex_60w.pdb 4.724
complex_104w.pdb 8.934
complex_23w.pdb 30.351
complex_173w.pdb 9.238
complex_117w.pdb 8.368
complex_107w.pdb 10.368
complex_260w.pdb 34.956
complex_146w.pdb 32.769
complex_265w.pdb 32.678
complex_63w.pdb 8.982
complex_19w.pdb 12.272
complex_91w.pdb 10.493
complex_75w.pdb 8.518
complex_48w.pdb 9.217
complex_317w.pdb 33.997
complex_110w.pdb 8.698
complex_103w.pdb 10.458
complex_22w.pdb 13.497
complex_221w.pdb 27.623
complex_179w.pdb 8.887
complex_49w.pdb 10.522
complex_358w.pdb 32.530
complex_189w.pdb 32.728
complex_54w.pdb 9.208
complex_158w.pdb 32.800
complex_141w.pdb 8.446
complex_78w.pdb 8.752
complex_187w.pdb 9.561
complex_76w.pdb 8.569
complex_66w.pdb 10.549
complex_53w.pdb 8.814
complex_266w.pdb 23.811
complex_34w.pdb 14.725
complex_29w.pdb 30.159
complex_112w.pdb 8.533
complex_262w.pdb 15.145
complex_115w.pdb 10.437
complex_32w.pdb 10.859
complex_43w.pdb 9.090
complex_177w.pdb 9.132
complex_248w.pdb 23.990
complex_81w.pdb 8.809
complex_367w.pdb 24.376
complex_294w.pdb 18.736
complex_126w.pdb 8.559
complex_150w.pdb 18.827
complex_131w.pdb 8.990
complex_93w.pdb 8.425
complex_80w.pdb 8.623
complex_171w.pdb 33.654
complex_183w.pdb 32.754
complex_87w.pdb 8.797
complex_211w.pdb 21.617
complex_250w.pdb 24.357
complex_58w.pdb 8.945
complex_50w.pdb 8.859
complex_340w.pdb 18.503
complex_228w.pdb 8.751
complex_95w.pdb 8.719
complex_113w.pdb 32.068
complex_99w.pdb 8.505
complex_218w.pdb 32.649
complex_301w.pdb 6.912
complex_121w.pdb 8.870
complex_224w.pdb 24.235
